  -0.3084598030    1.3271138232    2.4213638403
   0.7415401970    1.3271138232    2.1400171882
   0.2165401970    2.2364404971    2.1400171882
  -1.3584598030    1.3271138232    2.1400171882
   0.2165401970    0.4177871492    2.1400171882
   0.4470361012    2.9814190969   -0.7286361597
   0.2165401970    2.2364404971   -1.4972895077
  -0.8334598030    2.2364404971   -1.4972895077
  -0.3084598030    1.3271138232   -1.7786361597
   1.0002174357    0.9424373267    2.1901287057
   2.0502174357    0.9424373267    1.9087820537
   1.5252174357    1.8517640006    1.9087820537
   0.4752174357    0.0331106527    1.9087820537
   1.5252174357    0.0331106527    1.9087820537
   0.7413960787    2.7425794058   -0.9598712943
   2.0502174357    0.9424373267   -1.7285246422
   1.5252174357    1.8517640006   -1.7285246422
   0.4752174357    1.8517640006   -1.7285246422
  -0.0497825643    0.9424373267   -1.7285246422
   1.0002174357    0.9424373267   -2.0098712943
   1.2477506567   -0.3836423299    1.8758889429
   2.2977506567   -0.3836423299    1.5945422909
   0.1977506567   -0.3836423299    1.5945422909
   1.7727506567   -1.2929690038    1.5945422909
   2.0032465609   -2.0379476036    0.8258889429
   1.7727506567    0.5256843441   -2.0427644050
   0.7227506567    0.5256843441   -2.0427644050
   1.7727506567   -1.2929690038   -2.0427644050
   1.2477506567   -0.3836423299   -2.3241110571
   0.3026017155   -1.3019100147    1.7847395071
  -0.2223982845   -2.2112366887    1.5033928550
   0.8276017155   -2.2112366887    1.5033928550
   0.0437803584   -3.1020520938    0.7347395071
   1.0580976197   -2.9562152884    0.7347395071
   1.8325502694   -2.2851482474    0.7347395071
  -0.4420685473   -3.2654441243   -0.3152604929
   0.5557287440   -3.3865986503   -0.3152604929
   1.4955376836   -3.0301761331   -0.3152604929
  -0.8883629508   -2.6763565083   -1.3652604929
   0.0437803584   -3.1020520938   -1.3652604929
   1.0580976197   -2.9562152884   -1.3652604929
   1.8325502694   -2.2851482474   -1.3652604929
   1.3526017155   -1.3019100147   -2.1339138409
