#! FIELDS phi psi metad.bias der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  58
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  29
#! SET periodic_psi true
   -3.141592654   -3.141592654   99.508124754   47.234929458  -11.799982937
   -3.033261872   -3.141592654  104.174851231   38.261086938  -12.963792321
   -2.924931091   -3.141592654  107.810164890   28.191872234  -13.993851832
   -2.816600310   -3.141592654  110.332935693   17.828396400  -14.844114042
   -2.708269529   -3.141592654  111.762592618    8.184834905  -15.561515861
   -2.599938748   -3.141592654  112.213804261   -0.107122467  -16.149897925
   -2.491607967   -3.141592654  111.871265891   -6.417399997  -16.685812800
   -2.383277185   -3.141592654  110.964656724  -10.574909182  -17.249890893
   -2.274946404   -3.141592654  109.714465923  -12.622943985  -17.897290943
   -2.166615623   -3.141592654  108.364051444  -12.830856828  -18.655778069
   -2.058284842   -3.141592654  107.038604499  -11.901897712  -19.626010790
   -1.949954061   -3.141592654  105.852649290  -10.332508960  -20.803346357
   -1.841623280   -3.141592654  104.818598541   -8.962350682  -22.163184487
   -1.733292499   -3.141592654  103.889344993   -8.368515833  -23.642578818
   -1.624961717   -3.141592654  102.949638779   -9.038303579  -25.130616699
   -1.516630936   -3.141592654  101.845304506  -11.127487349  -26.498377695
   -1.408300155   -3.141592654  100.427714418  -14.838440954  -27.616400602
   -1.299969374   -3.141592654   98.535297927  -19.625336190  -28.352276217
   -1.191638593   -3.141592654   96.074783181  -25.299562101  -28.613337530
   -1.083307812   -3.141592654   92.996170222  -31.302451570  -28.376736249
   -0.974977030   -3.141592654   89.281421450  -36.844515146  -27.599442488
   -0.866646249   -3.141592654   85.036987783  -41.262903708  -26.318343597
   -0.758315468   -3.141592654   80.398003880  -44.103188459  -24.637626726
   -0.649984687   -3.141592654   75.558491851  -44.948956356  -22.512038442
   -0.541653906   -3.141592654   70.762787766  -43.422924794  -20.084700058
   -0.433323125   -3.141592654   66.265026940  -39.492723025  -17.425419722
   -0.324992343   -3.141592654   62.326306227  -33.175119544  -14.589374755
   -0.216661562   -3.141592654   59.194033873  -24.591261231  -11.570406789
   -0.108330781   -3.141592654   57.074035266  -14.370236544   -8.476959087
    0.000000000   -3.141592654   56.112828349   -2.996649604   -5.301492125
    0.108330781   -3.141592654   56.390956921    8.760090248   -2.171432565
    0.216661562   -3.141592654   57.901334733   19.889433340    0.938222077
    0.324992343   -3.141592654   60.559785301   29.358916919    3.892710836
    0.433323125   -3.141592654   64.096021696   36.274648263    6.668046723
    0.541653906   -3.141592654   68.212962635   39.718606428    9.186047206
    0.649984687   -3.141592654   72.501490048   39.280035157   11.364897865
    0.758315468   -3.141592654   76.521520114   34.776380000   13.116659908
    0.866646249   -3.141592654   79.854292158   26.542068837   14.390336935
    0.974977030   -3.141592654   82.138313800   15.341547141   15.131842113
    1.083307812   -3.141592654   83.090963216    2.463532051   15.346948155
    1.191638593   -3.141592654   82.637087583  -10.773075168   15.066088449
    1.299969374   -3.141592654   80.808748959  -22.838984906   14.341814507
    1.408300155   -3.141592654   77.800552496  -32.425760362   13.282989560
    1.516630936   -3.141592654   73.939596593  -38.467947930   11.975510289
    1.624961717   -3.141592654   69.642000123  -40.462212398   10.486614353
    1.733292499   -3.141592654   65.368910313  -38.143802568    8.956231891
    1.841623280   -3.141592654   61.555942383  -31.884723373    7.371735177
    1.949954061   -3.141592654   58.617446698  -22.172886834    5.792368807
    2.058284842   -3.141592654   56.869328648  -10.022521344    4.237448869
    2.166615623   -3.141592654   56.516540678    3.561500762    2.669974731
    2.274946404   -3.141592654   57.650734951   17.506797678    1.057243358
    2.383277185   -3.141592654   60.263903803   30.659379407   -0.595075084
    2.491607967   -3.141592654   64.217746899   42.057353118   -2.249280920
    2.599938748   -3.141592654   69.286684439   51.030040897   -3.985737684
    2.708269529   -3.141592654   75.147395001   56.897610226   -5.725812436
    2.816600310   -3.141592654   81.473974730   59.358292007   -7.387442874
    2.924931091   -3.141592654   87.875619953   58.378948270   -8.991301217
    3.033261872   -3.141592654   93.991554910   54.143332945  -10.474702988

   -3.141592654   -2.924931091   95.437760959   45.245010469  -18.521887235
   -3.033261872   -2.924931091   99.916064187   36.893748120  -19.669850697
   -2.924931091   -2.924931091  103.427425732   27.353024303  -20.541766899
   -2.816600310   -2.924931091  105.891078237   17.521861541  -21.186682509
   -2.708269529   -2.924931091  107.326827236    8.294151924  -21.600935816
   -2.599938748   -2.924931091  107.815696288    0.326099494  -21.834535143
   -2.491607967   -2.924931091  107.532114193   -5.911513089  -21.974924696
   -2.383277185   -2.924931091  106.666481332  -10.226936299  -22.143881247
   -2.274946404   -2.924931091  105.457407446  -12.542454273  -22.374960497
   -2.166615623   -2.924931091  104.075835674  -13.266283743  -22.795005973
   -2.058284842   -2.924931091  102.679455948  -12.856374828  -23.413551661
   -1.949954061   -2.924931091  101.352285602  -11.928815144  -24.267386602
   -1.841623280   -2.924931091  100.114301403  -11.130454543  -25.294377206
   -1.733292499   -2.924931091   98.917717616  -10.946126234  -26.441563135
   -1.624961717   -2.924931091   97.686476722  -11.774734914  -27.571542676
   -1.516630936   -2.924931091   96.287834344  -13.852439676  -28.550860124
   -1.408300155   -2.924931091   94.592473501  -17.151880666  -29.230009187
   -1.299969374   -2.924931091   92.485344298  -21.396520662  -29.519887551
   -1.191638593   -2.924931091   89.875669022  -26.166186055  -29.360451285
   -1.083307812   -2.924931091   86.743925975  -31.093039167  -28.637360128
